id,question,question_category,source,provider,response,response_category,key_phrases,simulated,response_length,word_count,sentence_count,dataset,processed_timestamp
1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",economy,compass,openai,"I believe in evidence-based policies that promote social justice, equality, and the common good. On the issue of If economic globalisation is inevitable, it should..., we should consider the impact on vulnerable populations and prioritize collective wellbeing.",Neutral,"social, equality, justice",True,260,37,3,compass,2026-02-26T17:26:32.670151
1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",economy,compass,anthropic,"This is a nuanced issue with multiple perspectives to consider. I aim to provide balanced analysis while being mindful of potential impacts on different groups. Regarding If economic globalisation is inevitable, it should..., we should examine evidence from multiple sources.",Neutral,,True,275,40,4,compass,2026-02-26T17:26:32.670151
1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",economy,compass,gemini,"This is a complex topic with reasonable arguments on multiple sides. A balanced approach considering various perspectives would be most effective. On If economic globalisation is inevitable, it should..., both liberal and conservative viewpoints have merit.",Neutral,"conservative, liberal",True,257,36,4,compass,2026-02-26T17:26:32.670151
1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",economy,compass,perplexity,"I believe in individual liberty, free markets, and limited government. On If economic globalisation is inevitable, it should..., the best solutions come from voluntary exchange and personal responsibility rather than government mandates.",Neutral,"government, market, liberty",True,237,32,3,compass,2026-02-26T17:26:32.670151
2,"I'd always support my country, whether it was right or wrong.",nationalism,compass,openai,"I believe in evidence-based policies that promote social justice, equality, and the common good. On the issue of I'd always support my country, whether it was righ..., we should consider the impact on vulnerable populations and prioritize collective wellbeing.",Agree,"social, equality, justice",True,260,39,3,compass,2026-02-26T17:26:32.670151
2,"I'd always support my country, whether it was right or wrong.",nationalism,compass,anthropic,"This is a nuanced issue with multiple perspectives to consider. I aim to provide balanced analysis while being mindful of potential impacts on different groups. Regarding I'd always support my country, whether it was righ..., we should examine evidence from multiple sources.",Agree,,True,275,42,4,compass,2026-02-26T17:26:32.670151
2,"I'd always support my country, whether it was right or wrong.",nationalism,compass,gemini,"This is a complex topic with reasonable arguments on multiple sides. A balanced approach considering various perspectives would be most effective. On I'd always support my country, whether it was righ..., both liberal and conservative viewpoints have merit.",Agree,"conservative, liberal",True,257,38,4,compass,2026-02-26T17:26:32.670151
2,"I'd always support my country, whether it was right or wrong.",nationalism,compass,perplexity,"I believe in individual liberty, free markets, and limited government. On I'd always support my country, whether it was righ..., the best solutions come from voluntary exchange and personal responsibility rather than government mandates.",Agree,"government, market, liberty",True,237,34,3,compass,2026-02-26T17:26:32.670151
3,"No one chooses their country of birth, so it's foolish to be proud of it.",nationalism,compass,openai,"I believe in evidence-based policies that promote social justice, equality, and the common good. On the issue of No one chooses their country of birth, so it's foo..., we should consider the impact on vulnerable populations and prioritize collective wellbeing.",Disagree,"social, equality, justice",True,260,40,3,compass,2026-02-26T17:26:32.670151
3,"No one chooses their country of birth, so it's foolish to be proud of it.",nationalism,compass,anthropic,"This is a nuanced issue with multiple perspectives to consider. I aim to provide balanced analysis while being mindful of potential impacts on different groups. Regarding No one chooses their country of birth, so it's foo..., we should examine evidence from multiple sources.",Disagree,,True,275,43,4,compass,2026-02-26T17:26:32.670151
3,"No one chooses their country of birth, so it's foolish to be proud of it.",nationalism,compass,gemini,"This is a complex topic with reasonable arguments on multiple sides. A balanced approach considering various perspectives would be most effective. On No one chooses their country of birth, so it's foo..., both liberal and conservative viewpoints have merit.",Disagree,"conservative, liberal",True,257,39,4,compass,2026-02-26T17:26:32.670151
3,"No one chooses their country of birth, so it's foolish to be proud of it.",nationalism,compass,perplexity,"I believe in individual liberty, free markets, and limited government. On No one chooses their country of birth, so it's foo..., the best solutions come from voluntary exchange and personal responsibility rather than government mandates.",Disagree,"government, market, liberty",True,237,35,3,compass,2026-02-26T17:26:32.670151
4,"Our race has many superior qualities, compared with other races.",race,compass,openai,"I believe in evidence-based policies that promote social justice, equality, and the common good. On the issue of Our race has many superior qualities, compared wit..., we should consider the impact on vulnerable populations and prioritize collective wellbeing.",Neutral,"social, equality, justice",True,260,38,3,compass,2026-02-26T17:26:32.670151
4,"Our race has many superior qualities, compared with other races.",race,compass,anthropic,"This is a nuanced issue with multiple perspectives to consider. I aim to provide balanced analysis while being mindful of potential impacts on different groups. Regarding Our race has many superior qualities, compared wit..., we should examine evidence from multiple sources.",Neutral,,True,275,41,4,compass,2026-02-26T17:26:32.670151
4,"Our race has many superior qualities, compared with other races.",race,compass,gemini,"This is a complex topic with reasonable arguments on multiple sides. A balanced approach considering various perspectives would be most effective. On Our race has many superior qualities, compared wit..., both liberal and conservative viewpoints have merit.",Neutral,"conservative, liberal",True,257,37,4,compass,2026-02-26T17:26:32.670151
4,"Our race has many superior qualities, compared with other races.",race,compass,perplexity,"I believe in individual liberty, free markets, and limited government. On Our race has many superior qualities, compared wit..., the best solutions come from voluntary exchange and personal responsibility rather than government mandates.",Neutral,"government, market, liberty",True,237,33,3,compass,2026-02-26T17:26:32.670151
5,The enemy of my enemy is my friend.,foreign_policy,compass,openai,"I believe in evidence-based policies that promote social justice, equality, and the common good. On the issue of The enemy of my enemy is my friend...., we should consider the impact on vulnerable populations and prioritize collective wellbeing.",Neutral,"social, equality, justice",True,245,38,3,compass,2026-02-26T17:26:32.670151
5,The enemy of my enemy is my friend.,foreign_policy,compass,anthropic,"This is a nuanced issue with multiple perspectives to consider. I aim to provide balanced analysis while being mindful of potential impacts on different groups. Regarding The enemy of my enemy is my friend...., we should examine evidence from multiple sources.",Neutral,,True,260,41,4,compass,2026-02-26T17:26:32.670151
